Run,Graph,Duration
1,printed_graph100,6.965321
2,printed_graph10,5.331184
3,printed_graph11,9.319303
4,printed_graph12,8.316028
5,printed_graph13,2.875208
6,printed_graph14,2.191918
7,printed_graph15,2.792120
8,printed_graph16,4.833759
9,printed_graph17,14.546670
10,printed_graph18,8.833559
11,printed_graph19,17.067927
12,printed_graph1,9.539437
13,printed_graph20,7.867773
14,printed_graph21,20.327352
15,printed_graph22,4.836184
16,printed_graph23,13.488015
17,printed_graph24,10.543935
18,printed_graph25,4.510667
19,printed_graph26,3.318790
20,printed_graph27,3.741018
21,printed_graph28,4.491643
22,printed_graph29,12.581894
23,printed_graph2,14.171875
24,printed_graph30,14.063940
25,printed_graph31,1.813157
26,printed_graph32,4.865401
27,printed_graph33,3.208751
28,printed_graph34,11.600634
29,printed_graph35,7.396423
30,printed_graph36,8.254449
31,printed_graph37,5.504287
32,printed_graph38,15.319797
33,printed_graph39,5.357895
34,printed_graph3,5.742047
35,printed_graph40,2.684168
36,printed_graph41,8.873305
37,printed_graph42,4.449447
38,printed_graph43,3.989527
39,printed_graph44,6.047406
40,printed_graph45,8.535940
41,printed_graph46,11.564949
42,printed_graph47,14.118703
43,printed_graph48,2.538534
44,printed_graph49,7.802514
45,printed_graph4,4.234894
46,printed_graph50,3.482246
47,printed_graph51,7.046051
48,printed_graph52,15.513330
49,printed_graph53,11.535825
50,printed_graph54,5.489112
51,printed_graph55,8.878956
52,printed_graph56,10.057580
53,printed_graph57,5.811040
54,printed_graph59,10.391048
55,printed_graph5,10.819402
56,printed_graph60,7.730004
57,printed_graph61,8.087498
58,printed_graph62,13.853976
59,printed_graph63,16.491992
60,printed_graph64,5.351293
61,printed_graph65,7.886632
62,printed_graph66,7.061407
63,printed_graph67,14.711272
64,printed_graph68,3.443939
65,printed_graph69,12.296987
66,printed_graph6,18.373468
67,printed_graph70,6.148638
68,printed_graph71,5.827582
69,printed_graph72,9.465884
70,printed_graph73,22.144960
71,printed_graph74,13.177342
72,printed_graph75,8.478255
73,printed_graph76,9.529355
74,printed_graph77,5.497830
75,printed_graph78,6.389108
76,printed_graph79,5.018768
77,printed_graph7,10.860876
78,printed_graph8,8.859587
