Run,Graph,Duration
1,printed_graph100,0.433020
2,printed_graph10,0.639985
3,printed_graph11,0.717359
4,printed_graph12,0.547975
5,printed_graph13,0.406579
6,printed_graph14,0.302689
7,printed_graph15,0.243496
8,printed_graph16,0.456620
9,printed_graph17,0.585229
10,printed_graph18,0.502231
11,printed_graph19,0.812795
12,printed_graph1,1.192870
13,printed_graph20,0.693206
14,printed_graph21,1.300642
15,printed_graph22,0.364038
16,printed_graph23,0.899978
17,printed_graph24,0.710642
18,printed_graph25,0.334770
19,printed_graph26,0.189512
20,printed_graph27,0.664658
21,printed_graph28,0.267144
22,printed_graph29,0.950599
23,printed_graph2,0.575338
24,printed_graph30,1.059646
25,printed_graph31,0.287648
26,printed_graph32,0.377411
27,printed_graph33,0.524689
28,printed_graph34,0.537843
29,printed_graph35,0.367387
30,printed_graph36,0.413226
31,printed_graph37,0.418101
32,printed_graph38,0.658706
33,printed_graph39,0.517006
34,printed_graph3,0.345837
35,printed_graph40,0.450517
36,printed_graph41,0.555342
37,printed_graph42,0.435988
38,printed_graph43,0.620102
39,printed_graph44,0.230295
40,printed_graph45,0.681340
41,printed_graph46,0.786307
42,printed_graph47,0.920226
43,printed_graph48,0.469464
44,printed_graph49,0.455050
45,printed_graph4,0.679757
46,printed_graph50,0.547734
47,printed_graph51,0.837797
48,printed_graph52,0.496951
49,printed_graph53,0.664386
50,printed_graph54,0.668280
51,printed_graph55,1.013272
52,printed_graph56,0.474572
53,printed_graph57,0.506663
54,printed_graph59,0.419146
55,printed_graph5,0.812942
56,printed_graph60,0.452644
57,printed_graph61,0.403970
58,printed_graph62,0.386473
59,printed_graph63,0.987211
60,printed_graph64,0.408333
61,printed_graph65,0.617005
62,printed_graph66,0.832540
63,printed_graph67,0.650600
64,printed_graph68,0.606809
65,printed_graph69,0.613980
66,printed_graph6,0.847411
67,printed_graph70,0.431815
68,printed_graph71,0.410084
69,printed_graph72,1.255096
70,printed_graph73,0.650721
71,printed_graph74,0.495884
72,printed_graph75,0.855309
73,printed_graph76,0.474693
74,printed_graph77,0.571531
75,printed_graph78,0.509654
76,printed_graph79,0.626554
77,printed_graph7,0.778473
78,printed_graph8,0.074622
